id,HK_district,short_description
8,"Central and Western","Most central business district on Hong Kong Island, home to government offices, skyscrapers, and upscale areas like Mid-Levels and Soho"
7,"Wan Chai","Vibrant commercial and entertainment hub, famous for Convention Centre, Golden Bauhinia Square, and nightlife"
10,Eastern,"Large residential area on Hong Kong Island with popular spots like Quarry Bay, Shau Kei Wan, and Chai Wan"
4,Southern,"Primarily residential with beaches (Repulse Bay, Stanley), Ocean Park, and Aberdeen fishing village"
9,"Yau Tsim Mong","Bustling tourist heart of Kowloon with Tsim Sha Tsui promenade, Nathan Road shopping, and Mong Kok markets"
8,"Sham Shui Po","Working-class district known for electronics markets, fabric wholesale, and authentic local food"
17,"Kowloon City","Historic area with former Kai Tak airport site, Kowloon Walled City Park, and diverse Thai and Chiu Chow communities"
3,"Wong Tai Sin","Residential district famous for Wong Tai Sin Temple and large public housing estates"
6,"Kwun Tong","Major industrial-turned-commercial area in eastern Kowloon, home to APM mall and Kwun Tong Promenade"
5,"Kwai Tsing","Container port and industrial hub including Kwai Chung and Tsing Yi with modern residential developments"
4,"Tsuen Wan","Gateway district in New Territories with large shopping malls, traditional markets, and proximity to beaches"
2,"Tuen Mun","Northwestern New Territories town with beaches, Gold Coast residential area, and large public housing"
1,"Yuen Long","Rural northern New Territories district known for wetlands (Mai Po), traditional villages, and growing new towns"
0,North,"Border district with Fanling and Sheung Shui, popular for golf courses and cross-border shopping"
2,"Tai Po","Scenic New Territories district with Tai Po Waterfront Park, traditional markets, and science park"
6,"Sha Tin","Major new town with Shing Mun River, New Town Plaza mall, horse racing at Sha Tin Racecourse, and universities"
5,"Sai Kung","Known as Hong Kong's 'back garden' with country parks, beaches, seafood restaurants, and hiking trails"
2,Islands,"Largest district by area, includes Lantau Island (Big Buddha, Disneyland, airport), Cheung Chau, Lamma Island, and Peng Chau"
